Series Name,Series Code,Country Name,Country Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Least developed countries: UN classification,LDC,152.5575002,151.9547841,151.4444559,150.9721099,150.7042097,150.4552071,149.9596666,149.390369,148.7265028,147.8830516,146.9712663,145.5103743,144.0441537,142.6003808,141.1461914,139.7195397,138.140567,136.6217128,135.1669073,133.7574845,132.4170892,131.2526621,130.0109005,128.6592904,127.2218012,125.6631176,123.8862168,122.1542512,120.5427293,119.1138589,117.8232851,116.4468503,115.0851894,113.683361,112.2569115,110.7878006,109.0882277,107.35451,105.6078493,103.8104138,102.0210769,100.3939529,98.77073255,97.15813053,95.57327325,94.00986313,92.76049633,91.50195862,90.22414767,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,OECD members,OED,48.80456097,48.07130411,47.29378114,46.49133675,45.6190132,44.68341448,43.85330472,43.02360434,42.20687805,41.39136842,40.61093698,40.1899917,39.75800824,39.30501815,38.83939861,38.35374232,38.42224457,38.52860051,38.70867491,38.8698653,39.14219496,38.86815577,38.58687452,38.23901832,37.79435077,37.25918816,36.59777623,35.92883262,35.28339844,34.60402437,33.93310087,33.58132814,33.2223358,32.83927624,32.39453982,31.94180308,30.98933201,30.03272382,29.0639496,28.06048141,27.00247193,26.14912702,25.30251643,24.48050713,23.66347559,22.86549916,22.23114805,21.56446685,20.84297346,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Low income,LIC,141.8985475,139.9514473,138.3698081,137.43948,136.8981696,136.9039224,137.2345647,137.385577,137.1181798,136.378041,135.3897291,134.0296526,132.776191,131.7508247,130.8984547,130.185901,129.9805356,129.9809796,130.1851169,130.5018946,131.0378953,131.6735715,132.0996053,132.1975432,131.9911503,131.4843564,130.0116193,128.5641402,127.2500685,126.0469874,124.9748126,123.4540403,121.932689,120.3593182,118.682321,116.9840659,114.7602935,112.5945249,110.5010853,108.4411196,106.4326789,104.6095007,102.7858608,100.9565561,99.10287524,97.25659537,95.69099514,94.09831006,92.46893007,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Lower middle income,LMC,113.329362,112.8438199,112.4133061,111.9999465,111.6778578,111.3650774,110.730463,110.0741997,109.3902816,108.6422217,107.8819149,106.4090097,104.9183443,103.4181175,101.8897412,100.3648607,98.15836599,95.95057339,93.74887207,91.5184722,89.28006619,86.58570045,83.87753922,81.1471883,78.39146807,75.61152289,73.55324661,71.50040271,69.46379887,67.43253473,65.42211129,63.77878201,62.15295489,60.54220071,58.93257896,57.33703717,55.94016568,54.56053368,53.19042637,51.81567217,50.44463276,48.93630687,47.42577113,45.91266418,44.36831758,42.83690533,42.18193596,41.51108872,40.81662442,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Middle income,MIC,78.28273089,78.02103511,77.74828485,77.26194709,76.51649888,75.54899254,75.02632922,74.40438611,73.77000477,73.00610284,72.20958484,71.6364922,71.26257642,71.09741727,71.07183862,71.19084709,69.88162229,68.6975721,67.62229207,66.64944798,65.74120157,64.820767,63.78490856,62.56330414,61.045081,59.40403567,58.0504481,56.48785662,54.72433204,52.81265255,50.72139303,49.0049807,47.53922878,46.42695434,45.57390668,45.03503331,44.89638114,44.73093689,44.38989753,43.89123916,43.21573291,42.2683994,41.27757259,40.29101191,39.27114541,38.2339245,37.77121461,37.27495367,36.73861076,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Upper middle income,UMC,47.23257673,46.15356127,45.09031026,43.89251636,42.4660549,40.84604229,40.63132661,40.3346835,40.0259734,39.65036527,39.23699985,39.79402003,40.50736704,41.38189191,42.38342347,43.49348897,42.31535902,41.26586687,40.33052443,39.57205173,38.94916765,38.89968693,38.80855985,38.58106182,38.05753875,37.41827377,36.66553385,35.65217391,34.37739215,32.93522186,31.25386118,29.96895407,28.98440391,28.4183796,28.20601664,28.41063358,29.17127664,29.97236724,30.57986966,31.00561147,31.16632659,30.9618841,30.69292204,30.44783507,30.2004901,29.91512974,29.67520164,29.38384014,29.03892595,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,High income,HIC,40.13123942,39.42220444,38.64560635,37.81007208,36.92718839,35.9541467,35.05927174,34.15813895,33.27498231,32.42684731,31.6104871,31.06829127,30.50347505,29.91031542,29.30800938,28.67920813,28.54058323,28.45010957,28.45173426,28.50160965,28.67377326,28.11852095,27.54348863,26.90768538,26.201801,25.43284352,24.86819816,24.30099294,23.74907766,23.18254566,22.61602527,22.50868593,22.37994196,22.20540981,21.9343845,21.6216717,20.63685702,19.64764703,18.66085599,17.67543862,16.66319241,15.88479352,15.11200661,14.35291768,13.60223248,12.86023846,12.30381018,11.74686468,11.19285329,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,OECD members,OED,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Low income,LIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
