Series Name,Series Code,Country Name,Country Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,East Asia & Pacific,EAS,40.28777488,38.85295871,37.40287691,35.82366413,34.06896287,32.14435218,31.5985154,31.00857186,30.43971397,29.84396327,29.26470346,29.67569787,30.17226633,30.7312398,31.31810661,31.91147524,30.35171293,28.86516966,27.4592105,26.15701105,24.94655194,24.39063821,23.80655537,23.147896,22.32695242,21.45355043,21.28853171,21.01854195,20.6198254,20.08783578,19.41700151,18.83065023,18.39949825,18.1901503,18.0903678,18.22276131,18.82970726,19.49346926,20.07211441,20.58316037,20.93662558,20.8801701,20.79749588,20.74821996,20.68393743,20.61949375,20.63963049,20.63537324,20.59664414,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Europe & Central Asia,ECS,40.19508317,40.08898418,39.96534176,39.82737079,39.64485338,39.39181915,38.84111422,38.3028454,37.78894753,37.29450325,36.81881542,36.55394141,36.31364798,36.10746188,35.95737042,35.88294279,35.91278307,35.94371049,35.94522951,35.91888925,35.87810147,34.56262851,33.19809696,31.79039507,30.34127286,28.84829002,27.76743859,26.65836421,25.53069181,24.34594806,23.14785586,23.09862557,23.02858143,22.91911295,22.75120991,22.52474691,21.98246837,21.46174153,20.96892091,20.46815377,19.96142384,19.35614614,18.77266427,18.20872251,17.63902532,17.08827356,16.62400965,16.183995,15.7635951,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,European Union,EUU,35.27698345,34.91838361,34.51020601,34.05183624,33.5360459,32.90405087,31.42358708,30.00597515,28.70061529,27.49141513,26.40366326,25.58578502,24.78603991,23.96173746,23.1399451,22.30392536,21.75935436,21.20227969,20.65018308,20.06464095,19.49885742,18.72285006,17.89087413,16.97725843,15.99323607,14.95210817,14.6525778,14.3683732,14.11525651,13.83324381,13.58239786,13.57007967,13.54206649,13.46979951,13.3102743,13.09133705,12.51362236,11.97958846,11.48971722,11.00926326,10.54146498,10.24458049,9.960835282,9.687211726,9.410330826,9.143510087,8.927776955,8.739422388,8.569623923,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Euro area,EMU,31.68291815,30.79653543,29.90258781,29.01137999,28.1250373,27.21591381,25.94329966,24.66742296,23.393812,22.11944606,20.85037706,19.75302884,18.65204177,17.54829839,16.4618744,15.38087821,14.91228289,14.4448343,13.98074667,13.51981073,13.06237394,12.61225933,12.15437512,11.68243608,11.19673005,10.69827313,10.72181298,10.73600599,10.74179523,10.73805153,10.72521502,10.54359883,10.35197558,10.15606904,9.962733991,9.774632715,9.38090951,8.98377355,8.584276264,8.180126301,7.780091142,7.554894118,7.332412091,7.114627783,6.894460204,6.672788289,6.50170337,6.339095055,6.180599847,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Latin America & Caribbean,LCN,95.22255894,94.66474037,94.12335574,93.59602789,93.0354884,92.46073589,91.831489,91.21448153,90.61641189,90.0359965,89.46391285,89.14812834,88.81786395,88.46721894,88.08902213,87.69410273,87.57327231,87.44243325,87.31135416,87.19111732,87.08822037,86.77639515,86.4652785,86.15069017,85.82553406,85.50017399,84.5286858,83.54844359,82.55686462,81.55118235,80.53273133,79.12600941,77.73821733,76.37084037,75.01269725,73.66373757,72.58047545,71.49082336,70.39326636,69.28650993,68.17232261,67.15311065,66.13383376,65.11290431,64.06736105,63.03042715,62.09877539,61.17733016,60.26488613,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Middle East & North Africa,MEA,122.6761226,121.1079668,119.55702,117.9593944,116.3229292,114.6299395,111.6775863,108.7190826,105.7866445,102.9164688,100.0691511,96.25464,92.44067961,88.60692547,84.71627405,80.83374444,77.03212507,73.24753828,69.76747165,65.89941772,62.32294749,59.27893122,56.25239975,53.11856449,50.09500171,47.02847678,45.48012586,43.93950515,42.40821546,40.82656042,39.25404585,39.00501209,38.76802893,38.53502336,38.26990106,38.01701393,38.47159383,38.94341692,39.45218015,40.02513506,40.63105407,40.63966904,40.60192455,40.49882265,40.24230199,39.96969354,39.70307738,39.39315596,39.02823088,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,North America,NAC,58.94534568,57.24825105,55.54609097,53.84098742,52.12635482,50.40985931,50.05863969,49.71684869,49.37892779,49.05367471,48.74780933,49.08024244,49.41797611,49.74960002,50.05789793,50.34490249,51.50007793,52.6426098,53.80402413,54.96522415,56.13171063,54.57628167,53.02249001,51.4735774,49.91783616,48.36450936,46.70246024,45.04430482,43.38649711,41.71677658,40.05094176,39.49268746,38.93475829,38.37233185,37.7803353,37.19370709,35.03965675,32.89254024,30.7524757,28.59379212,26.43572742,24.91440227,23.39954155,21.89032762,20.37352707,18.85577891,17.64217032,16.42479217,15.20890962,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,South Asia,SAS,116.741477,116.3934431,116.1127288,115.8876305,115.8443157,115.8223414,116.0545333,116.2398304,116.3660859,116.4066457,116.404932,115.3932158,114.3648541,113.3321029,112.2813281,111.2260837,108.5882006,105.9633445,103.3554126,100.7636757,98.19176419,94.91393128,91.62591747,88.31745357,84.9794339,81.61546644,78.36884882,75.12737694,71.90156796,68.70279464,65.51451987,62.71438644,59.91610805,57.11657608,54.28492636,51.45552555,48.71680819,46.00151993,43.31045326,40.65956311,38.00781999,35.57137963,33.11439283,30.63498084,28.11775079,25.58558606,24.52389565,23.4471522,22.35726589,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Sub-Saharan Africa,SSF,155.155988,155.129829,155.0895974,155.0188124,154.8933485,154.7748515,154.0016291,153.2341166,152.4630765,151.6183831,150.7657802,149.3882442,148.0229924,146.6782536,145.312246,143.9730653,142.4630725,140.9582175,139.4548815,137.947214,136.4410508,135.5881612,134.7118131,133.8080995,132.8507477,131.8680565,130.6762198,129.4937219,128.3436017,127.2306383,126.16321,124.8641612,123.5986097,122.3560469,121.09959,119.8572038,118.3253267,116.7665026,115.1766988,113.5524313,111.9081897,110.0496793,108.2062804,106.3859441,104.5757349,102.7883606,101.2199367,99.63779845,98.03240066,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
